CustID,MoB,MaxBalance,PchActiveMths,FinCharges,OnlineTxn,PaytoBalance,OfflinePay,ActiveCards
C#35910567094059,157,315.74,3,11.53,44.73,26.26,1.50,2
C#50999939198509,78,227.13,4,11.31,61.76,17.37,1.00,2
C#23302753627477,128,137.34,1,1.21,21.74,1.55,0.74,2
C#13838886564785,153,161.12,4,12.80,57.39,18.05,1.53,2
C#29829517563313,184,328.91,3,24.48,11.28,22.76,39.11,5
C#80708735143281,145,533.36,4,28.76,54.93,23.31,1.99,10
C#61330650083976,161,91.30,2,1.37,53.95,14.23,1.12,2
C#21693133272876,120,240.51,2,12.95,38.39,25.45,0.81,2
C#71961428233496,108,174.34,3,15.59,68.47,20.91,0.93,1
C#53408451595832,163,262.03,1,10.42,70.15,12.01,1.48,2
C#51899871338629,180,1428.83,6,284.40,48.44,15.69,9.99,6
C#52685065362116,229,180.86,3,13.08,10.97,19.81,32.25,3
C#97682974614327,201,95.61,4,23.86,17.25,25.67,34.92,4
C#37695108623748,167,141.72,1,0.93,50.47,13.47,0.71,1
C#86930090958092,112,250.80,5,20.40,9.63,30.18,52.03,3
C#60987811418752,134,315.41,15,10.30,34.72,57.07,4.18,3
C#27245926266087,138,469.39,3,4.99,49.44,5.79,2.77,7
C#86699669478108,103,300.07,4,71.41,43.22,27.78,1.89,12
C#69841589783532,145,119.40,2,0.90,64.25,10.33,0.98,3
C#50414900777867,111,324.29,4,17.10,49.66,25.28,1.38,2
C#5586232543672,45,260.44,8,14.04,33.42,53.19,6.43,4
C#80021686844904,133,155.81,3,23.39,55.45,12.24,1.36,2
C#98442049373005,210,317.91,5,12.28,26.29,45.17,9.04,3
C#43901001567341,131,129.46,2,1.47,32.57,14.06,1.06,2
C#93290220303538,108,80.38,2,1.36,34.43,11.26,1.20,2
C#69553381028008,94,572.70,6,38.37,55.61,16.51,1.58,9
C#97328960629125,131,163.02,1,1.07,17.49,14.03,1.53,1
C#74886208867079,107,195.83,4,15.38,63.17,12.50,1.50,2
C#29214308322243,140,138.81,2,14.59,55.89,14.55,1.81,2
C#15897854893301,175,335.97,2,14.83,62.63,17.85,0.90,3
C#1957867588927,141,1630.72,8,239.56,16.39,6.34,9.02,4
C#41747609724080,121,247.72,4,54.07,47.20,19.67,2.09,9
C#79881485731039,107,79.51,2,14.87,53.92,15.07,0.97,2
C#5569143454923,242,441.89,8,172.62,32.23,11.74,2.90,4
C#42618333840769,124,359.99,3,14.11,11.84,25.20,24.51,2
C#68971773922140,137,93.61,2,1.31,75.32,8.44,0.97,2
C#21881987028935,171,109.78,2,1.27,29.55,10.23,0.81,2
C#63127449671639,133,245.60,3,12.14,28.08,26.48,1.61,1
C#3895477647694,149,326.00,3,25.23,12.47,30.50,20.44,4
C#77867246429999,171,1475.45,6,387.03,57.52,13.15,11.78,5
C#24652676478330,101,465.06,9,117.52,30.26,12.21,11.16,6
C#1811579514881,141,230.30,11,16.59,57.31,87.91,7.39,3
C#51997570050000,124,205.72,2,17.25,69.47,16.64,1.22,1
C#32547425582411,143,166.95,10,10.72,34.26,73.96,7.97,3
C#8158719294453,126,353.01,3,19.69,41.29,24.77,1.87,2
C#10357437131230,96,194.03,2,1.19,34.46,8.24,0.47,2
C#98866741799041,87,221.12,4,5.42,29.37,19.04,1.30,2
C#53944097940081,104,207.55,2,18.82,49.49,19.60,1.63,3
C#34973279661800,226,130.46,1,1.18,51.07,9.48,0.95,1
C#66809715114009,112,2058.35,11,164.28,49.58,20.23,8.78,7
C#27770314395651,112,128.67,1,1.39,25.85,13.55,1.13,3
C#19950807653943,135,136.18,1,1.29,26.48,11.91,1.00,3
C#13815823880280,147,96.11,1,0.73,21.25,9.22,1.17,2
C#915792053062,122,179.76,2,10.61,63.81,19.01,1.88,2
C#73147885910232,138,378.89,2,19.36,13.26,14.26,32.55,2
C#74154131842080,87,228.36,3,19.92,62.39,17.25,1.43,2
C#66067181725889,119,117.28,2,12.63,42.16,29.65,1.12,1
C#77694534979230,104,1463.22,7,262.52,40.49,16.88,11.71,7
C#32513282121213,219,1462.96,8,305.56,30.34,16.60,10.46,3
C#54676314446817,152,145.89,3,13.89,54.98,14.48,1.18,2
C#64988548378869,174,1263.47,7,308.67,40.14,16.77,9.33,3
C#84879595727374,90,127.96,3,11.48,54.69,28.98,2.02,4
C#52108579554406,95,308.34,4,14.31,27.20,21.07,0.65,3
C#17556007781425,231,336.53,7,11.87,14.98,50.68,3.83,3
C#90443612005957,192,203.29,2,19.26,12.93,18.30,28.30,3
C#20024384137481,41,255.75,1,9.38,36.59,26.39,2.04,3
C#15606668862751,244,329.71,6,15.06,13.10,19.21,16.95,3
C#14305514153596,162,1677.99,9,232.39,64.63,9.08,5.37,7
C#58980895879081,131,478.75,5,57.96,53.93,16.11,1.56,7
C#45368428705951,68,340.56,6,26.20,21.39,20.59,1.60,8
C#752315731213,115,117.26,2,1.70,60.95,13.91,0.76,2
C#37275051119056,135,400.30,5,44.19,34.73,22.31,2.13,7
C#48166233240247,196,207.59,3,14.05,13.95,26.01,24.12,4
C#36105981149649,57,109.00,1,1.08,41.77,8.31,0.43,3
C#27231591274330,210,1343.06,7,310.09,31.94,14.27,10.40,6
C#83134814966390,182,276.25,5,26.79,13.23,41.08,43.59,2
C#77449278718157,111,243.65,3,14.45,69.36,14.99,1.13,2
C#12538209799521,199,937.08,10,359.57,27.33,14.33,8.13,3
C#94211244787907,125,246.50,3,6.58,40.06,10.63,2.05,2
C#62559463373265,133,298.46,2,17.05,58.09,19.56,1.43,2
C#31532380872406,199,149.95,4,9.69,36.05,27.45,1.09,2
C#13525756508858,177,286.16,3,22.69,8.53,27.13,42.72,3
C#52730915051742,128,120.59,2,1.12,60.22,11.40,0.76,2
C#1622503948190,227,294.05,3,18.80,9.74,26.96,18.95,2
C#13563039501987,126,292.35,3,11.46,44.56,16.40,0.99,2
C#62491986463007,242,202.93,7,14.10,37.26,84.57,8.50,3
C#68049670286228,106,282.35,10,8.27,29.49,77.36,7.52,3
C#27857334927797,155,190.88,2,18.34,51.26,22.56,1.84,4
C#77226192262493,132,309.14,4,7.13,53.28,20.66,1.73,3
C#8274042315235,163,449.93,3,58.48,38.58,23.06,0.90,8
C#1164261147188,166,93.50,2,1.11,35.94,8.91,0.99,2
